url;date_published;time_published;author;description;title;complexity;themes;links;full_text
https://nplus1.ru/news/2023/03/31/Chondrostereum-purpureum;31.03.23;16:15;Слава Гоменюк;"Грибковый паразит растений впервые заразил человека
Пациент долгое время работал с гнилой древесиной";Грибковый паразит растений впервые заразил человека;2.9;Медицина;https://doi.org/10.1016/j.mmcr.2023.03.001, https://doi.org/10.1111/1462-2920.15028, https://nplus1.ru/news/2022/11/17/quicksilver-rush, https://nplus1.ru/news/2023/03/21/2019-to-2021-candida-auris;"В Индии миколог, который занимался исследованием растительных патогенов в мертвых деревьях, впервые в истории заразился паразитирующим на деревьях грибком Chondrostereum purpureum — хондростереумом пурпурным. У пациента не было нарушений иммунитета, в том числе ВИЧ-инфекции и диабета, и он не принимал иммуносупрессоры. Отчет о случае опубликован в журнале Medical Mycology Case Reports.
Обычно Chondrostereum purpureum паразитирует на живых деревьях, вызывая «млечный блеск» — заболевание, при котором грибок покрывает ветки и листья деревьев, после чего они приобретают серебряный, млечный оттенок. На стволе (и живом, и мертвом) гриб растет многочисленными черепитчатыми группами. При дальнейшем развитии болезни древесина разрушается и сгнивает, и грибок продолжает в ней жить. 
У людей с ослабленным иммунитетом паразиты растений (в том числе грибковые) считаются условно-патогенными возбудителями инфекций. Однако Сома Датта (Soma Dutta) из Больницы Аполлона описала случай заражения 61-летнего индийского миколога, который занимался паразитарными грибками растений, Chondrostereum purpureum. 
Пациент обратился в больницу с жалобами на охрипший голос, кашель и затруднения при глотании. Кроме того, его беспокоила постоянная усталость и потеря веся в течения трех месяцев. Пациент не страдал от диабета, ВИЧ-инфекции и хронических заболеваний внутренних органов. Он не принимал иммуносупрессивные препараты и не получал травм в последнее время. 
Рентгенография грудной клетки не показала никаких отклонений. Компьютерная томография (КТ) шеи выявила паратрахеальный абсцесс справа, который под контролем КТ вскрыли и аспирировали содержимое. Гистологическое исследование аспирата показало нейтрофилы и клетки слизистой оболочки бронхов и трахеи на фоне геморрагического некроза.
Бактериологическое исследование аспирата не выявило патогенных возбудителей (в том числе микобактерий), а окрашивание на грибы показало перегородчатые гифы. После посева гнойного аспирата через 4-5 дней инкубации выросла кремово-пастообразная колония с желтовато-коричневым оттенком на основании. При окрашивании врачи обнаружили круглые и трубчатые грибковые элементы. 
Поскольку врачи не смогли по морфологии идентифицировать грибок, они отправили образцы в сертифицированную лабораторию Всемирной организации здравоохранения для секвенирования ДНК. Анализ показал, что в аспирате присутствует ДНК Chondrostereum purpureum. Пациент отрицал, что взаимодействовал с этим грибковым патогеном растений в своей работе, однако подтвердил, что долгое время работал с разлагающейся древесиной.
Гной полностью дренировали из полости абсцесса, а пациенту назначили схему лечения вориконазолом. Спустя два года после выздоровления пациент был абсолютно здоров, рецидива инфекции не произошло. 
Хотя грибковые заболевания встречаются у людей гораздо реже бактериальных и вирусных, они могут доставить много хлопот с их лечением. В США, например, продолжает распространяться грибок, который устойчив к большинству известных противогрибковых препаратов. А некоторые люди и вовсе ищут порой весьма спорные способы лечения: так, китаец решил вылечить грибковую кожную инфекцию внутривенным введением ртути. Врачи успели его спасти.
Постепенно в мозге сильнее и сильнее активировались те же зоны, что отвечают за распознавание собственного лица
"
https://nplus1.ru/news/2023/04/01/finally-glycine;01.04.23;10:30;Олег Лищук;"В мозге нашли метаботропные рецепторы к глицину
Они могут стать мишенью для принципиально новых антидепрессантов";В мозге нашли метаботропные рецепторы к глицину;5.3;Медицина;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D1%84%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5_%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D1%80%D1%8B, https://nplus1.ru/news/2022/07/20/no-serotonin, https://www.eurekalert.org/news-releases/984095, https://nplus1.ru/material/2022/12/28/no-more-serotonin, https://www.science.org/doi/10.1126/science.add7150, https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B0%D0%B1%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%BD%D1%8B%D0%B5_%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D1%80%D1%8B, https://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BA%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B4%D0%B5%D0%BD%D0%BE%D0%B7%D0%B8%D0%BD%D0%BC%D0%BE%D0%BD%D0%BE%D1%84%D0%BE%D1%81%D1%84%D0%B0%D1%82, https://en.wikipedia.org/wiki/Cache_domain;"Американские исследователи обнаружили, что ранее открытый в мозге орфанный рецептор GPR158 обеспечивает метаботропное действие нейромедиатора глицина. Он может стать мишенью для новых лекарств от депрессии и других психоневрологических расстройств. Публикация об этом появилась в журнале Science.
Простейшая аминокислота глицин служит одним из основных нейротрансмиттеров. Он распространен по всему мозгу и регулирует фундаментальные нейрональные процессы за счет связывания со специфическими ионотропными рецепторами GlyR. В основном его действие тормозное, однако в развивающихся нейронах может быть возбуждающим. Кроме того, глицин служит коактиватором возбуждающих глутаматных NMDA-рецепторов. Также у него наблюдали метаботропные нейромодуляторные эффекты. Как правило, за них отвечают рецепторы, связанные с G-белком (GPCR), которые были найдены для всех основных нейромедиаторов, кроме глицина и близкого к нему таурина. Глицинергическая нервная передача играет роль в развитии различных патологических состояний, включая депрессию.
GPR158 — это один из самых распространенных орфанных GPCR в мозге. Его обнаружили сотрудники лаборатории Кирилла Мартемьянова (Kirill Martemyanov) в Университете Флориды в ходе изучения белковых регуляторов работы G-белка (RGS), с которыми этот рецептор связан. Исследуя GPR158, они выяснили, что в нейронах он регулирует функции вторичного посредника цАМФ и контролирует ключевые ионные каналы, киназы и нейротрофные факторы, задействованные в возбудимости клетки и синаптической передаче. В силу этого рецептор вовлечен в реализацию когнитивных функций и аффективных состояний. Его генетическое выключение у мышей проявлялось антидепрессивным эффектом и устойчивостью к стрессу. Эндогенный лиганд для GPR158 оставался неизвестным, однако на нем был обнаружен внеклеточный cache-домен, широко распространенный в хеморецепторах бактерий и служащий для связывания лигандов.
В новой работе исследователи оттолкнулись от того, что в cache-домене GPR158 есть небольшой молекулярный карман, схожий с местами связывания аминокислот в других известных cache-доменах. Это позволило предположить, что лигандом для GPR158 также служит аминокислота. Скрининг базовых аминокислотных молекул показал, что только глицин и таурин снижают уровень цАМФ, причем только в клетках, экспрессирующих заданный рецептор. Этот эффект реализовывался за счет ингибирования связанного с рецептором RGS — RGS7-Gβ5, активирующего ГТФазу.
Выяснив это, авторы работы несколькими методами выяснили, что глицин непосредственно связывается с GPR158. В частности, для этого они воспользовались проточным цитометрическим мониторингом связывания глицина, конъюгированного с изотиоцианатом флуресцеина, с экспрессирующими этот рецептор клетками; конкурентным связыванием с меченым тритием глицином, а также изотермической титрационной калориметрией связывания глицина с очищенным рецептором.
С помощью молекулярного моделирования исследователи нашли положение глицина в связывающем кармане cache-домена GPR158, стабилизированное сетью водородных связей с аминокислотными боковыми цепями. Методом направленного мутагенеза подтвердили значение этих аминокислот для связывания глицина, а также то, что без него подавления активации ГТФазы белком RGS7-Gβ5 не происходит.
После этого авторы работы провели электрофизиологическое исследование нейронов II и III слоев медиальной префронтальной коры, выраженно экспрессирующих GPR158, в условиях фармакологической блокады возбуждающей и тормозной ионотропной синаптической импульсации. Под действием глицина значительно повышалось число потенциалов действия и снижалась сила тока, необходимая для вызова первого из них; мембранный потенциал покоя при этом не менялся. Подобный возбуждающий эффект в корне отличался от тормозного действия глицина, обусловленного активацией GlyR, и отсутствовал у мышей, нокаутных по гену Gpr158.
Таким образом, GPR158 был идентифицирован как метаботропный глициновый рецептор mGlyR. Связанная с ним крупная нейромодуляторная система должна помочь в понимании когнитивных функций и аффективных состояний. В перспективе она может стать мишенью для принципиально новых лекарств от депресcии, тревожности и других расстройств, считают авторы работы.
До недавнего времени развитие депрессии связывали в первую очередь с нарушениями обмена нейромедиатора серотонина. В 2022 году были опубликованы данные об ошибочности этих представлений. Тем не менее действующие на серотонин антидепрессанты эффективны — о том, почему так происходит, рассказывает материал «Серотонин, останьтесь».
Но, возможно, вызвал тромбозы
"
https://nplus1.ru/news/2023/04/01/copper-fishing-hook;01.04.23;09:05;Михаил Подрезов;"В Израиле обнаружили 6000-летний медный рыболовный крючок для ловли акул или крупных тунцов
Артефакт нашли в городе Ашкелон";В Израиле обнаружили 6000-летний медный рыболовный крючок для ловли акул или крупных тунцов;1.1;Археология;https://nplus1.ru/news/2016/09/17/oldest-hooks, https://nplus1.ru/news/2021/10/08/epipaleolithic-fishing, https://www.science.org/doi/10.1126/science.1207703?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed, https://www.youtube.com/watch?v=PePOT99FDqw;"Археологи провели охранно-спасательные раскопки, предварявшие строительство нового района в израильском городе Ашкелон. Во время этих работ они обнаружили один из древнейших в мире медных рыболовных крючков, который изготовили около шести тысяч лет назад. Артефакт длиной 6,5 сантиметра и шириной четыре сантиметра, по мнению исследователей, предназначался для ловли акул, длина которых составляла два-три метра, или же крупных тунцов. Об этом сообщается на Youtube-канале Управления древностей Израиля.
Исследователям известны и более древние рыболовные крючки. Так, на сегодня самыми ранними подобными артефактами выступают находки из Японии возрастом около 23 тысяч лет, а также из Восточного Тимора, где нашли крючки, изготовленные около 23–16 тысяч лет назад. Более того, непосредственно в Израиле недавно обнаружили крючки, изготовленные примерно 15–12 тысяч лет носителями натуфийской археологической культуры. Однако все эти снасти изготовлены из других материалов, например, из раковин моллюсков или костей животных. Сообщается, что недавно обнаруженный медный крючок уже третьего апреля будет впервые выставлен на обозрение во время археологического конгресса.
Археолог-любитель обнаружил в норвежском национальном парке Ютунхеймен необычную конструкцию из деревянных жердей, которые находились на дне озера. Оказалось, что это древняя ловушка, позволявшая добывать рыбу. Возраст находки составляет около семи тысяч лет, сообщает издание Science Norway."
https://nplus1.ru/news/2023/03/31/human-lung-cross-circulation;31.03.23;22:00;Слава Гоменюк;"Свиная кровь полечила поврежденные донорские легкие
Хотя и инфильтрировала их лейкоцитами";Свиная кровь полечила поврежденные донорские легкие;3.8;Медицина;https://europepmc.org/article/pmc/pmc9984766, https://doi.org/10.1126/sciadv.ade7647, https://www.nature.com/articles/s41551-017-0037, https://nplus1.ru/news/2022/08/04/necropigs, https://www.sciencedirect.com/science/article/pii/S1600613522008851;"Система перекрестной реперфузии, в которой донорские легкие присоединяют к кровеносной системе свиньи, восстановила поврежденные части легких, в том числе микроструктуру тканей, и вернула им функциональную активность: в них нормализовался газообмен. Хотя она и вызвала инфильтрацию легких иммунными клетками свиньи, они не повредили их структуру. Исследование опубликовано в журнале Science Advances. 
В среднем, донорское легкое получат лишь 20-30 процентов пациентов, которым оно необходимо. Одной из главных причин такого положения считают трудности с сохранением этого органа при доставке и подготовке к операции – клетки быстро начинают погибать, и легкие становятся непригодными для пересадки. Кроме того, не каждое легкое можно пересадить: орган должен быть практически здоровым. В последние годы распространяется метод перфузии легких ex vivo, когда орган подключают к механистической системе, качающей жидкость с кислородом – перфузат, – и он дольше остается жизнеспособным и функциональным. Часто в роли перфузата выступает свиная кровь, однако с ее использованием связан ряд проблем. 
Во-первых, такие перфузаты не могут поддерживать все сложные биохимические, метаболические, эндокринные и многие другие процессы, которые происходят в работающем организме. Во-вторых, часто встает вопрос об иммунологической совместимости клеток свиной крови и человеческих легких. Предыдущие исследования показывали противоречивые результаты иммунологической толерантности. 
Чтобы решить первую проблему, группа ученых под руководством Вэй Ву (Wei K. Wu) из Медицинского центра Вандербильтского университета разработала в 2017 году систему перекрестной реперфузии крови. Ее концепция состоит в том, что к легочной артерии донорского легкого пришивают правую внутреннюю яремную вену свиньи, а легочную вену – к левой внутренней яремной вене. К легким подключают вентиляционный аппарат, а к легочной артерии – дополнительный насос. 
Предыдущие исследования показали, что такая система не только поддерживает жизнеспособность легких в течение нескольких дней, но и позволяет восстанавливать поврежденные ткани легких, которые признали непригодными для трансплантации. Теперь ученые исследовали, иммунологические последствия такой процедуры для тканей легких.
Легкие были «подключены» к свинье на протяжении суток, животному предварительно провели курс иммуносупрессивной терапии. Всего в исследовании участвовало четыре донорских органа. Один из доноров при жизни страдал от эмфиземы легких (стаж курения – 48 пачко-лет), у остальных доноров при жизни в разных долях легких отмечались признаки консолидации. На протяжении всех процедур среднее давление притока крови к легочной артерии составляло 13,3 ± 8,8 миллиметра ртутного столба. Средняя частота сердечных сокращений у свиньи составляла 98 ± 16 ударов в минуту, температура – 38,3 ± 0,9 градуса Цельсия, а рН 7,41 ± 0,11.
По истечении суток в донорских легких ученые наблюдали инфильтрацию свиными лейкоцитами. Проточная цитометрия показала, что среди найденных мононуклеарных клеток встречались клетки как миелоидного, так и лимфоидного ряда. При детальном анализе ученые обнаружили, что среди лейкоцитов были нейтрофилы (самая распространенная популяция), моноциты/макрофаги, натуральные киллеры, CD4+ Т-лимфоциты, CD8+ Т-лимфоциты, γδ+ Т-лимфоциты и В-лимфоциты; ученые не обнаружили Тregs-лимфоцитов. При иммуногистохимическом окрашивании наблюдалась инфильтрация свиными иммуноглобулинами G и M. 
При анализе крови всей системы перекрестной реперфузии ученые количественно оценивали профиль цитокинов. Больше всего в начале реперфузии увеличилась концентрация интерлейкина-6, фактора некроза опухоли альфа, интерлейкина-8 и антагониста рецептора интерлейкина-1. Однако к концу эксперимента уровни всех цитокинов вернулись к первоначальным значениям. Примечательно, что уровни интерферона-гамма (IFN-γ) (р = 0,02) и интерлейкина-12 (р < 0,0001) снижались на протяжении всей процедуры. Уровни цитокинов в тканях легких не показали существенных изменений.
Функцию газообмена ученые оценивали, как по давлению воздуха в легких, так и по парциальному давлению кислорода в приводящих и отводящих сосудах. Нормальный газообмен свидетельствовал бы о морфо-функциональном восстановлении легких. Кроме того, о нем также свидетельствовала меняющаяся масса донорского органа и показатели лактата в венозной крови. К концу эксперимента все эти показатели соответствовали показателям нормально  функционирующих легким. 
Морфологически через 24 часа после реперфузии легкие соответствовали практически здоровым: бронхоскопия показала нормальные дыхательные пути без признаков воспаления и восстановление консолидированных сегментов. Архитектоника тканей сохраняла альвеолярную структуру с неповрежденным аэро-гематическим барьером. 
Таким образом, это исследование демонстрирует иммунологическую безопасность и совместимость человеческого легкого в системе перекрестной реперфузии со свиной крови, несмотря на инфильтрацию тканей легкого свиными иммунными клетками и иммуноглобулинами. Кроме того, эта система позволяет восстанавливать поврежденные легкие, которые обычно не подходят для трансплантации. Дальнейшие исследования необходимо направить на изучение иммунологического ответа свиньи при более длительной реперфузии.
Ученые пытаются разрабатывают самые разнообразные способы сохранения органов для трансплантации. В прошлом году, например, они придумали систему, которая восстанавливает и в течение шести часов поддерживает кровоснабжение органов у свиней через час после смерти. При этом в тканях обнаружили маркеры активного метаболизма.
Больше всего пострадали женщины из групп риска развития депрессии
"
https://nplus1.ru/news/2023/03/31/jwst-no-sn-boat-grb;31.03.23;20:52;Александр Войтюк;"«Джеймс Уэбб» и «Хаббл» не нашли яркой сверхновой от рекордно яркого гамма-всплеска
Возможно, она очень тусклая";«Джеймс Уэбб» и «Хаббл» не нашли яркой сверхновой от рекордно яркого гамма-всплеска;4.6;Астрономия;https://nplus1.ru/news/2023/03/31/boat-rings-grb, https://iopscience.iop.org/article/10.3847/2041-8213/acc2c1;"Космические телескопы «Джеймс Уэбб» и «Хаббл» не обнаружили заметных признаков сверхновой, которая могла бы сопровождать самый яркий в истории гамма-всплеск GRB 221009A. Возможно, что она очень тусклая, или же произошел прямой коллапс массивной звезды в черную дыру. Статья опубликована в журнале The Astrophysical Journal Letters.
Гамма-всплески представляют собой самые яркие быстропротекающие явления, известные во Вселенной. Они бывают длинные (более 2 секунд) и короткие (менее двух секунд). Большинство длинных всплесков возникает в результате гравитационного коллапса очень массивных звезд, сопровождаемые сверхновыми, короткие гамма-всплески связываются со слияниями компактных объектов и возникающими при этом килоновыми. 
Длинный гамма-всплеск GRB 221009A, обнаруженный 9 октября 2022 года и наблюдавшийся целым рядом телескопов в разных областях электромагнитного спектра, стал самым ярким гамма-всплеском, обнаруженным за более чем 50 лет наблюдений. Он возник в локальной Вселенной, излучение шло до Земли 1,9 миллиарда лет.
Группа астрономов во главе с Эндрю Леваном (Andrew Levan) из Университета Неймегена опубликовала результаты наблюдений послесвечения GRB 221009A при помощи инструментов NIRSPEC и MIRI инфракрасного космического телескопа «Джеймс Уэбб», а также оптических наблюдений космического телескопа «Хаббл». Ученые хотели найти связанную со всплеском сверхновую и ее галактику-хозяина.
Галактика-хозяин всплеска видна с ребра, вспышка близка к ее ядру.  Галактика характеризуется эффективным радиусом 2,45 килопарсеков, звездной массой около 109 масс Солнца, дискообразной морфологией и умеренным темпом звездообразования. В целом, галактика-хозяин GRB 221009A не является особенно необычной среди галактик-хозяев как длинных, так и коротких гамма-всплесков.
Наблюдаемое явное отсутствие какого-либо излучения сверхновой от GRB 221009A выглядит очень необычным явлением. Возможно, что в рассматриваемый период  (0,5–55 дней после всплеска) излучение сверхновой было небольшим или же пик ее излучения находился за пределами охватываемого диапазона длин волн. Альтернативное объяснение длинного гамма-всплеска без сверхновой заключается в том, что он возник в результате прямого коллапса очень массивной звезды в черную дыру, при котором в окружающую среду выбрасывается не так много вещества. 
Ранее мы рассказывали о том, как выглядело рентгеновское эхо рекордно яркого гамма-всплеска.
Протопланетные диски обогащаются молекулами воды напрямую из газовых облаков
"
https://nplus1.ru/news/2023/03/31/abell-1201-smbh;31.03.23;20:18;Александр Войтюк;"Астрономы впервые измерили массу сверхмассивной черной дыры при помощи гравитационного линзирования
Черная дыра в центре скопления Abell 1201 оказалась очень тяжелой";Астрономы впервые измерили массу сверхмассивной черной дыры при помощи гравитационного линзирования;5.2;Астрономия;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0_%D1%82%D0%B8%D0%BF%D0%B0_cD, https://en.wikipedia.org/wiki/Reverberation_mapping, https://nplus1.ru/news/2022/06/30/longest-delay-lensing, https://academic.oup.com/mnras/article/521/3/3298/7085506?login=false;"Астрономы впервые определили массу сверхмассивной черной дыры при помощи эффекта сильного гравитационного линзирования. Черная дыра в центральной галактике скопления Abell 1201 обладает массой в 32 миллиарда масс Солнца, что делает ее одним из самых массивных подобных объектов. Статья опубликована в журнале Monthly Notices of the Royal Astronomical Society.
Считается, что сверхмассивные черные дыры находятся в центрах большинства известных галактик и играют важную роль в их эволюции. Их массы в малоактивных галактиках измеряют путем отслеживания динамики газа вблизи черной дыры или звезд в галактике-хозяине, для активных галактик используется метод реверберации или спектроскопия ядра галактики.
Группа астрономов во главе с Джеймсом Найтингейлом (James Nightingale) из Даремского университета опубликовала результаты первой оценки массы сверхмассивной черной дыры на основе эффекта сильного гравитационного линзирования. Ученые анализировали данные наблюдений космического телескопа «Хаббл» за скоплением галактик Abell 1201, в которой самая яркая галактика, относящаяся к типу cD и характеризующаяся красным смещением z=0,169 создает сильно искривленные и увеличенные изображения фоновой галактики при z=0,451. Путем компьютерных моделирований и их сравнений с данными наблюдений восстанавливалось распределение массы вдоль луча зрения.
Ученые определили, что наилучшая модель соответствует точечной массе в виде сверхмассивной черной дыры в центральной галактике с массой (32,7±21,2) миллиардов масс Солнца (со статистической значимостью 3 сигма). Это одна из самых массивных сверхмассивных черных дыр, известных на сегодняшний день. Одна из рассматривавшихся моделей предполагала отсутствие сверхмассивной черной дыры, однако была признана нефизичной и все равно накладывала ограничение на верхней предел точечной массы в 53 миллиарда масс Солнца. Это второй случай, когда сильное гравитационное линзирование дает ограничения на массу сверхмассивной черной дыры в центре галактики-линзы, однако первый, когда  было получено достаточно точное значение массы черной дыры.
Ранее мы рассказывали о том, как ученые зафиксировали рекордно длинную задержку излучения от гравитационно линзированного квазара.
Это одно из лучших свидетельств наличия воды на Марсе в прошлом
Марсоход «Кьюриосити» отыскал одно из лучших свидетельств существования жидкой воды в кратере Гейл в далеком прошлом Марса. Ровер обнаружил на скалах волнообразную текстуру, которая сформировалась, когда скалы были дном неглубокого озера, сообщается на сайте NASA."
https://nplus1.ru/news/2023/03/31/saturn-heat;31.03.23;18:59;Александр Войтюк;"Кольцам разрешили подогреть термосферу Сатурна
Вещество колец падает в верхние слои атмосферы планеты";Кольцам разрешили подогреть термосферу Сатурна;4.9;Астрономия;https://iopscience.iop.org/article/10.3847/PSJ/acaf78, https://nplus1.ru/news/2019/01/18/Saturn-rings-are-young;"Астрономы определили потенциальный источник горячих атомов водорода в термосфере Сатурна. Предполагается, что это может быть поток вещества из колец Сатурна или со спутника Энцелада, попадающий в верхние слои атмосферы планеты и взаимодействующий с ними.  Статья опубликована в The Planetary Science Journal.
Температуры термосфер внешних планет Солнечной системы (500–1100 кельвин) нельзя объяснить только нагревом солнечным излучением, как это работает в случае Земли, что создает проблему. В частности, в случае Сатурна температура термосферы колеблется от 370 кельвин в экваториальных широтах до 590 кельвин в полярных регионах.
Группа астрономов во главе с Лотфи Бен-Джаффелем (Lotfi Ben-Jaffel) из Института астрофизики в Париже опубликовала результаты анализа данных наблюдений за излучением Сатурна в линии Лайман-альфа при помощи космического телескопа «Хаббл» и межпланетной станции «Кассини», полученных в 2017 году, а также архивных данных «Вояджеров». Подобные наблюдения позволяют отслеживать распределение атомарного водорода в верхних слоях атмосферы Сатурна, что может помочь разобраться в механизмах их нагрева.
Исследователи обнаружили избыток яркости излучения водорода по сравнению с экваториальной областью и высокоширотными регионами, проявляющийся на всех долготах и в области 5–35 градусов северной широты. Это явление долговременное и фиксируется на протяжении почти 40 лет, в южном полушарии яркость излучения водорода демонстрирует меньшую модуляцию.
Для высоких широт повышенную яркость излучения водорода могут потенциально объяснить процессы, связанные с полярными сияниями на Сатурне, хотя фотохимические модели нуждаются в уточнении. Однако для более низких широт нужно иное объяснение, авторы предполагают, что возможным источником популяции надтепловых атомов водорода на больших высотах может быть приток вещества из колец планеты или с его спутника Энцелада или же подобная популяция формируется за счет турбулентности, вызванной ветрами в термосфере. Тем не менее, эти предположения требуют уточнения, основанного на будущих наблюдениях за планетой.  
Ранее мы рассказывали, что кольца Сатурна оказались современниками динозавров.
В теории таких объектов быть не должно
"
